price,n_accommodates,n_bathrooms,n_beds,n_guests_included,n_extra_people,n_minimum_nights,n_number_of_reviews,n_review_scores_rating,n_reviews_per_month,n_days_since,p_host_response_rate,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,d_hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,property_type,room_type,usd_price_day,usd_cleaning_fee,cancellation_policy,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
100,2,1.5,1,1,0,1,1,100,.04,742,,House,Entire home/apt,flexible,Real Bed,Hackney,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Hackney,House,Entire home/apt,100.00,,flexible,4.6051702,4,.69314718,.48045301,0,1,.69314718,1,6.6093493,43.683498,288.71948,550564,408518496,4.6051702,1
121,6,1.5,4,1,7,1,0,,,,96,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,Hackney,Apartment,Entire home/apt,121.00,150,strict,4.7957907,36,1.7917595,3.210402,1.3862944,1,0,0,,,,,,,1
69,4,1,2,1,0,3,73,95,1.61,1357,100,Apartment,Entire home/apt,moderate,Real Bed,Hackney,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,69.00,20,moderate,4.2341065,16,1.3862944,1.9218121,.69314718,1,4.3040652,2,7.2130318,52.027828,375.27838,1841449,2498846208,4.5538769,3
30,1,1,2,1,0,1,0,,,,,Apartment,Private room,flexible,Real Bed,Hackney,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Hackney,Apartment,Private room,30.00,,flexible,3.4011974,1,0,0,.69314718,1,0,0,,,,,,,1
60,3,1,,1,0,4,1,100,.48,61,100,House,Private room,flexible,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,Hackney,House,Private room,60.00,,flexible,4.0943446,9,1.0986123,1.206949,,1,.69314718,1,4.1108737,16.899282,69.470818,3721,226981,4.6051702,3
29,1,1,1,1,0,2,125,93,4.15,902,100,Apartment,Private room,strict,Real Bed,Hackney,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,Hackney,Apartment,Private room,29.00,10,strict,3.3672957,1,0,0,0,1,4.8362818,2,6.8046145,46.30278,315.07257,813604,733870784,4.5325994,2
73,2,1,1,1,0,1,0,,,,,Apartment,Private room,flexible,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Hackney,Apartment,Private room,73.00,,flexible,4.2904596,4,.69314718,.48045301,0,1,0,0,,,,,,,1
55,2,1,1,2,0,5,3,93,.87,103,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,55.00,20,strict,4.0073333,4,.69314718,.48045301,0,1,1.3862944,1,4.6347289,21.480713,99.557274,10609,1092727,4.5325994,3
66,2,.5,1,1,8,1,0,,,,100,House,Private room,strict,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Hackney,House,Private room,66.00,12,strict,4.1896548,4,.69314718,.48045301,0,0,0,0,,,,,,,1
33,2,1.5,1,1,0,2,12,84,2.02,176,100,Apartment,Private room,strict,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,Hackney,Apartment,Private room,33.00,15,strict,3.4965076,4,.69314718,.48045301,0,1,2.5649493,1,5.1704841,26.733906,138.22723,30976,5451776,4.4308167,2
39,2,1.5,1,1,0,2,4,70,.43,280,100,House,Private room,strict,Real Bed,Hackney,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,Hackney,House,Private room,39.00,,strict,3.6635616,4,.69314718,.48045301,0,1,1.6094379,1,5.6347895,31.750853,178.90936,78400,21952000,4.2484951,2
100,6,1,4,4,20,2,0,,,,100,House,Entire home/apt,flexible,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hackney,House,Entire home/apt,100.00,20,flexible,4.6051702,36,1.7917595,3.210402,1.3862944,1,0,0,,,,,,,2
132,7,1.5,2,1,0,3,0,,,,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,Hackney,Apartment,Entire home/apt,132.00,36,strict,4.882802,49,1.9459101,3.786566,.69314718,1,0,0,,,,,,,3
66,2,1,1,1,0,2,0,,,,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,66.00,28,strict,4.1896548,4,.69314718,.48045301,0,1,0,0,,,,,,,2
95,4,1,2,1,7,2,15,90,1.07,420,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Hackney,Apartment,Entire home/apt,95.00,40,strict,4.5538769,16,1.3862944,1.9218121,.69314718,1,2.7725887,1,6.0402546,36.484676,220.37672,176400,74088000,4.4998097,2
39,2,2,1,2,10,1,2,50,.23,257,100,Apartment,Private room,strict,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hackney,Apartment,Private room,39.00,15,strict,3.6635616,4,.69314718,.48045301,0,2,1.0986123,1,5.5490761,30.792246,170.86852,66049,16974592,3.9120231,1
33,2,1,1,1,0,2,11,71,3.33,98,99,Apartment,Private room,strict,Real Bed,Hackney,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Hackney,Apartment,Private room,33.00,15,strict,3.4965076,4,.69314718,.48045301,0,1,2.4849067,1,4.5849676,21.021929,96.384857,9604,941192,4.2626801,2
80,2,.5,1,1,30,1,36,93,.55,1956,100,Apartment,Private room,strict,Real Bed,Hackney,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,Hackney,Apartment,Private room,80.00,35,strict,4.3820267,4,.69314718,.48045301,0,0,3.6109178,1,7.5786567,57.436035,435.28799,3825936,7483530752,4.5325994,1
59,2,1,1,1,0,2,3,100,.3,300,100,House,Private room,strict,Real Bed,Hackney,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,House,Private room,59.00,15,strict,4.0775375,4,.69314718,.48045301,0,1,1.3862944,1,5.7037826,32.533134,185.56194,90000,27000000,4.6051702,2
